BOSNA-HERSEK ÜNİVERSİTELERİ,,,,,,,,,,
,,,,,,,,,,
VİZESİZ BİR ÜLKEDİR. (KAPIDA VİZE) - ADLİ SİCİL ÖNEMLİDİR. 70 ÜSTÜ DİPLOMA NOTU OLMALIDIR.,,,,,,,,,,
BÜTÜN ÜNİVERSİTELER İÇİN HAZIRLIK POLİGROT DİL OKULUNDA ALINIR.,,,,,,,,,,
ÖĞRENCİLER ÜLKEDE ÇEVİRİ İÇİN 250 EURO ÜCRET ÖDER.,,,,,,,,,,
DİL OKULUNDA OTURUM OLMAZ.  3AY BOSNADA 3 AY TÜRKİYE OLACAK ŞEKİLDE HAZIRLIK ALINIR. BİRİNCİ SINIFTA OTURUMU OLUR,,,,,,,,,,
"FAKÜLTE GİRİŞDE SINAV OLABİLİR. DİL VE BÖLÜMLE ALAKALI, SINAVLAR ZOR DEĞİDİR. LİSE DÜZEYİNDE, KALAN OLMADI İKİ KERE SINAVA GİREBİLİYOR.",,,,,,,,,,
,,,,,,,,,,
HAZIRLIK + DANIŞMANLIK PAKET ÜCRETTİR.,,,,,,,,,,
BOŞNAKÇA 2500 EURO,,,,,,,,,,
İNGİLİZCE 3500 EURO,,,,,,,,,,
,,,,,,,,,,
Hayvan Üretimi(ZooTeknik),700 €,3 Yıl,Boşnakca,,Gıda Teknolojisi(Yiyecek ve İçecek Kontrolü),Boşnakca,Tıp,Boşnakca,,
Ziraat Mühendisliği( Meyve*Bağcılık-Bitkisel Üretim),700 €,3 Yıl,Boşnakca,,Kentsel Tarım,Boşnakca,Hukuk,Boşnakca,,
Ziraat Mühendisliği( Tarım*Sebzecilik-Bitkisel Üretim),700 €,3 Yıl,Boşnakca,,Bitkisel Kökenli Ürün Teknolojisi,Boşnakca,Makine Mühendisliği,Boşnakca,,
Su Ürunleri Yetiştiriciliği(ZooTeknik),700 €,3 Yıl,Boşnakca,,Hayvansal Kökenli Ürünlerin Teknolojisi,Boşnakca,Elektrobilim ve Teknik,Boşnakca,,
Gıda Teknolojileri ve Mühendisliği,700 €,3 Yıl,Boşnakca,,Ziraat Bitkisel Üretimde Bitki İlacı,Boşnakca,Kamu Yönetimi,Boşnakca,,
Tarım ve Gıda Endüstrisi Ekonomisi,700 €,3 Yıl,Boşnakca,,Arazi ve Kırsal AlanlarınSürdürebilir Yönetimi,Boşnakca,Felsefe,Boşnakca,,
Tarım (Bitkisel Üretim),700 €,3 Yıl,Boşnakca,,Ekoloji,Boşnakca,Siyasal Bilgiler,Boşnakca,,
Biyoloji-BiyoKimya ve Fizyoloji ,700 €,4 Yıl,Boşnakca,,Genetik Mühendisliği,Boşnakca,Pedagoji,Boşnakca,,
Biyoloji -Ekoloji,700 €,4 Yıl,Boşnakca,,Mikrobiyoloji,Boşnakca,İnşaat Mimarlık,Boşnakca,,
Biyoteknoloji,700 €,4 Yıl,Boşnakca,,Biyoloji Öğretmenliği,Boşnakca,Müzik,Boşnakca,,
Biyoloji  ve Biyoloji Öğretmenliği,700 €,4 Yıl,Boşnakca,,Fizik,Boşnakca,,,,
Fizik Öğretmenliği,700 €,4 Yıl,Boşnakca,,Eğitimde Fizik,Boşnakca,,,,
Fizik,700 €,4 Yıl,Boşnakca,,Genel Kimya,Boşnakca,,,,
Coğrafya8 Cografya Öğretmenliği,700 €,4 Yıl,Boşnakca,,Cografya Öğretmenliği,Boşnakca,,,,
Bölgesel ve Mekansal Planlama,700 €,4 Yıl,Boşnakca,,Bölgesel ve Mekansal Planlama,Boşnakca,,,,
Turizm ve Cevre Koruma,700 €,4 Yıl,Boşnakca,,Kimya Öğretmenliği,Boşnakca,,,,
Kimya*Kimya Öğretmenliği,700 €,4 Yıl,Boşnakca,,Matematik,Boşnakca,,,,
Genel Kimya,700 €,4 Yıl,Boşnakca,,Matematik Öğretmenliği,Boşnakca,,,,
Kalite Kontrol ve Cevre Koruma,700 €,4 Yıl,Boşnakca,,Yazılım Mühendsiliği,Boşnakca,,,,
Matematik ,1.000 €,3 Yıl,Boşnakca,,Uygulamalı Matematik,Boşnakca,,,,
Matematik Öğretmenliği,1.000 €,3 Yıl,Boşnakca,,Peyzaj Mimarlığı,Boşnakca,,,,
Matematik Bilişim Öğretmenliği,1.000 €,3 Yıl,Boşnakca,,Ekosistem  ve Sürdürülebilir Yönetimi,Boşnakca,,,,
Yazılım Mühendisliği,1.000 €,3 Yıl,Boşnakca,,Bilgi Teknolojisi,Boşnakca,,,,
Uygulamalı Matematik,1.000 €,3 Yıl,Boşnakca,,Ekonomi Yönetimi (CevreEkonomisi Ljubjana İktisat Fakultesi Ortak Diploma),İngilizce,,,,
Sanat Tarihi*Restorasyon ve Koruma,1.000 €,3 Yıl,Boşnakça,,İslam Bankacılığı Yönetimi(Bolton Üniversitesi Ortak Diploma),İngilizce,,,,
Mimarlık ve Şehir Planlama,1.900 €,3 Yıl,Boşnakca,,Ekonomi Yönetimi (Zagrep Üniversitesi İktisat Fakultesi Ortak Diploma),Boşnakça*Hırvatça*Sırpca,,,,
Mimarlık ,1.900 €,3 Yıl,Boşnakça,,Ekonomi,İngilizce,,,,
Bahcecilik (Bahcevanlık),700 €,3 Yıl,Boşnakça,,İşletme Yönetimi,İngilizce,,,,
Ormancılık Mühendisliği,700 €,3 Yıl,Boşnakça,,Kamu Yönetimi,Boşnakca,,,,
Arkeoloji,600 €,4 Yıl,Boşnakça,,Güvenlik Çalışmaları,Boşnakca,,,,
Tarih ,600 €,4 Yıl,Boşnakça,,Medeni Kanun,Boşnakca,,,,
Hukuk,600 €,4 Yıl,Boşnakça,,Ceza Hukuku,Boşnakca,,,,
Kamu Yönetimi,600 €,4Yıl,Boşnakca,,Hukuk Tarihi ve Karşılaştırmalı Hukuk,Boşnakca,,,,
Kriminoloji* Güvenlik Barış Calışmaları*Adli Bilimler,600 €,4Yıl,Boşnakca,,Hukuk ve Ekonomik Bilimler,Boşnakca,,,,
Uluslararası İlişkiler,600 €,4Yıl,Boşnakca,,Dış İşleri bakanlıgı ve Uluslararası Kamu Hukuku,Boşnakca,,,,
Sosyal Hizmetler,600 €,4 Yıl,Boşnakça,,Cinsiyet ve Hukuk,Boşnakca,,,,
Siyasal Bilimler,600 €,3 Yıl,Boşnakca,,Fotoğrafcılık ,Boşnakca,,,,
İletişim  ve İletişim Teknolojileri,600 €,3 Yıl,Boşnakça,,Cevre Koruma ve Restorasyon,Boşnakca,,,,
Gazetecilik,600 €,3 Yıl,Boşnakça,,Adli Bilimler,Boşnakca,1.250 €,,,
Yayımcılık,600 €,3 Yıl,Boşnakça,,Kriminoloji,Boşnakca,1.250 €,,,
MultiMedya ,600 €,3 Yıl,Boşnakca,,Guvenlik Barıs Calışmaları,Boşnakca,1.250 €,,,
Kameramanlık,600 €,3 Yıl,Boşnakça,,,,,,,
Fotoğrafcılık,600 €,3 Yıl,Boşnakça,,,,,,,
Felsefe,700 €,4 Yıl,Boşnakça,,,,,,,
Sosyoloji ,700 €,4 Yıl,Boşnakça,,,,,,,
Psikoloji,700 €,4 Yıl,Boşnakça,,,,,,,
Pedagoji*Özel Pedagoji,700 €,4 Yıl,Boşnakça,,,,,,,
Okul Öncesi Öğretmenliği,700 €,4 Yıl,Boşnakça,,,,,,,
Sınıf Öğretmenliği,700 €,4 Yıl,Boşnakca,,,,,,,
Rehberlik Eğitim ve Rehabilitasyon (PDR),700 €,4 Yıl,Boşnakça,,,,,,,
Yaşam Kültürü ve Teknik Eğitim,700 €,4 Yıl,Boşnakça,,,,,,,
Arşiv ve Kütüphanecilik,700 €,4 Yıl,Boşnakça,,,,,,,
İslami Din Eğitimi Öğretmenliği,700 €,4 Yıl,Boşnakça,,,,,,,
İslam İlahiyatı,700 €,4 Yıl,Boşnakca,,,,,,,
İmam ve Hatipler ,700 €,3 Yıl,Boşnakça,,,,,,,
İtalyanca*Arapca*Latince*Almanca,700 €,3 Yıl,Boşnakça,,,,,,,
Fransizca*Rusça*İngilizce,700 €,3 Yıl,Boşnakça,,,,,,,
Tercumanlık,700 €,4 Yıl,Boşnakça,,,,,,,
Dil Bilimleri ve Dil Öğretmenlikleri,700 €,3 Yıl,Boşnakca,,,,,,,
Etnoloji,700 €,3 Yıl,Boşnakça,,,,,,,
Türk Dili ve Edebiyatı,700 €,3 Yıl,Boşnakça,,,,,,,
İngiliz Dili ve Edebiyatı,700 €,3 Yıl,Boşnakça,,,,,,,
Roma Dili Edebiyatı *,700 €,3 Yıl,Boşnakça,,,,,,,
 Slav Dili Edebiyatı(Boşnak*Hırvat*Sırp),700 €,3 Yıl,Boşnakça,,,,,,,
Karşılaştırmalı Edebiyat,700 €,3 Yıl,Boşnakca,,,,,,,
BosnaHersek Halkları Edebiyatı,700 €,3 Yıl,Boşnakça,,,,,,,
Alman Araştırmaları,700 €,3 Yıl,Boşnakça,,,,,,,
Amerikan Araştırmaları,700 €,3 Yıl,Boşnakça,,,,,,,
Güzel Sanatlar Öğretmenliği,800 €,3 Yıl,Boşnakca,,,,,,,
Grafik *Grafik Tasarım,800 €,3 Yıl,Boşnakca,,,,,,,
Heykel,800 €,3 Yıl,Boşnakca,,,,,,,
Resim (Boyama),800 €,3 Yıl,Boşnakca,,,,,,,
Ürün Tasarım,800 €,3 Yıl,Boşnakca,,,,,,,
Oyunculuk,800 €,3 Yıl,Boşnakca,,,,,,,
Drama,800 €,3 Yıl,Boşnakca,,,,,,,
Sahne Sanatları Yönetmenliği,800 €,3 Yıl,Boşnakca,,,,,,,
Yönetmenlik*Prodüksiyon,800 €,3 Yıl,Boşnakca,,,,,,,
Ekonomi Yönetimi**işletme (Griffith Collage Duplin Irlanda İşbirliği),5.400 €,3 Yıl,İngilizce,,,,,,,
Ekonomi,2.000 €,3 Yıl,İngilizce,,,,,,,
İşletme Yönetimi,2.000 €,3 Yıl,İngilizce,,,,,,,
Finans Pazarlama Yönetimi,2.000 €,4 Yıl,İngilizce,,,,,,,
Beden Eğitimi ve Sğor Ögretmenliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Antranorlük,1.000 €,3 Yıl,Boşnakca,,,,,,,
Spor ve Rekreasyon,1.000 €,3 Yıl,Boşnakca,,,,,,,
Spor Turizmi,1.000 €,3 Yıl,Boşnakca,,,,,,,
Fitness Eğitmeni,1.000 €,3 Yıl,Boşnakca,,,,,,,
Spor ve Medya Gazteteciliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Spor Yönetimi,1.000 €,3 Yıl,Boşnakca,,,,,,,
Özel Amaclı Beden Eğitimi(Ordu*Polis),1.000 €,3 Yıl,Boşnakca,,,,,,,
Sporcuların Uygulanabilir Eğitiimi,1.000 €,3 Yıl,Boşnakca,,,,,,,
Müzik Yapım Kompozisyon,700 €,4 Yıl,Boşnakca,,,,,,,
Müzİk Öğretmenliği,700 €,4 Yıl,Boşnakca,,,,,,,
Ses Tasarımı Mühendisliği,700 €,4 Yıl,Boşnakca,,,,,,,
Müzikoloji ve EtnoMüzikoloji,700 €,4 Yıl,Boşnakca,,,,,,,
Orkestra Şefliği,700 €,4 Yıl,Boşnakca,,,,,,,
Koro Şefliği ,700 €,4 Yıl,Boşnakca,,,,,,,
Müzik Yönetmenliği,700 €,4 Yıl,Boşnakca,,,,,,,
Müzik Aletleri Yapımı,700 €,4 Yıl,Boşnakca,,,,,,,
Arp*Piyano*Şan*Solo*Gitar*Akordeon*Cello*Trompet*Boynuz*,700 €,4 Yıl,Boşnakca,,,,,,,
Yaylı*Nefesli*Vurmalı Calgılar*Perkusyon*Keman*Flut*Klarnet*Saksafon*,700 €,4 Yıl,Boşnakca,,,,,,,
Vokal(Şarkıcılık),700 €,4 Yıl,Boşnakca,,,,,,,
Makine Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Endüstri Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Proses  Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Çevre Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Enerji  Yönetimi Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Isıtma ve Soğutma Klima Makineleri,1.000 €,3 Yıl,Boşnakca,,,,,,,
Robotik Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Mekatronik Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Makine Motor Bölümü ,1.000 €,3 Yıl,Boşnakca,,,,,,,
Savunma Teknolojileri,1.000 €,3 Yıl,Boşnakca,,,,,,,
Elektrik Mühendsiliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Güç Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Otomasyon ve Elektronik Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Bilgisayar Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Bilişim ,1.000 €,3 Yıl,Boşnakca,,,,,,,
Haberleşme ve Lojistik ,1.000 €,3 Yıl,Boşnakca,,,,,,,
Ulaştırma  Mühendisliği(Havacılık*Karayolu*Demiryolu),1.000 €,3 Yıl,Boşnakca,,,,,,,
Telekomünikasyon,1.000 €,3 Yıl,Boşnakca,,,,,,,
İnşaat Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Karayolu Trafiği Yönetimi Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Elektrik ve Elektronik Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Hidrolik (Su) Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Su Ürünleri Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Jeoloji ve Jeoinformatik ,1.000 €,3 Yıl,Boşnakca,,,,,,,
Jeoloji Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Ağaç Teknolojisi,1.000 €,3 Yıl,Boşnakca,,,,,,,
Motorlar ve Taşıtlar,1.000 €,3 Yıl,Boşnakca,,,,,,,
Mekanik Yapılar,1.000 €,3 Yıl,Boşnakca,,,,,,,
Savunma Teknolojileri,1.000 €,3 Yıl,Boşnakca,,,,,,,
Yol yapımı ,1.000 €,3 Yıl,Boşnakca,,,,,,,
Yapı Mühendisliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Üretim Teknolojileri,1.000 €,3 Yıl,Boşnakca,,,,,,,
Süreç Mühendsiliği,1.000 €,3 Yıl,Boşnakca,,,,,,,
Mekansal İç Mimarlık ,1.000 €,3 Yıl,Boşnakca,,,,,,,
MOSTAR CEMAL BİHEDİÇ DEVLET ÜNİVERSİTESİ,,,EK GİDERLER,YUKSEKLİSANS,,DOKTORA 7700€,,,,
Eczacılık 5 yıl,1.800 €,5 Yıl,KONAKLAMA,Tarım sebze Çicek Bilimi,3.750 €,Küresel İşletme ve Finans,,,,
Biyo*Kimya ,1.375 €,4 Yıl,Saraybosnada ,tarım Meyve ve Bağcılık Bilimi,3.750 €,Avrupa Hukuku,,,,
Spor ve Sağlık,1.375 €,4 Yıl,Ev 150*400€,Cevre Koruma Biyolojisi,3.750 €,Kinizeterapi   ,,,,
Yazılım Geliştirme ,1.375 €,3 Yıl,Yurt 90 €,Ekoloji ,3.750 €,Sosyoloji,,,,
Medya ve İletişim 4 Yıl\Boşnak Dili Edebıyatı4 Yıl,1375€*600€,4 Yıl,Özel Yurt 150€,Tarih,3.750 €,Genel Pedagoji,,,,
Siyasal Bilimler 4 Yıl,1.375 €,3 Yıl,OTURUM İZNİ,İş Ekonomisi,3.750 €,Psikoloji,,,,
Tarih ,600 €,4 Yıl,İlk Yıl 295€,İşletme Ekonomisi ,3.750 €,Klinik Psikoloji,,,,
Hukuk ,600 €,4 Yıl,Diğer Yıllar 140€,Bilişim Teknolojileri,3.750 €,Disiplinler Arası Sosyal Bilimler,,,,
İngiliz Dili Edebiyatı \Alam dili Edebiyatı ,600€*600€,4 Yıl,,Çevre Alt Yapısı Yönetimi,3.750 €,Rehabilitasyon,,,,
Alman Dili Edebiyatı ,600 €,4 Yıl,,Yenilenebilir Enerji kaynakları,3.750 €,Öğretim Yöntemleri,,,,
Türk Dili Edebiyatı,600 €,4 Yıl,,Bilgisayar Mühendisliği,3.750 €,Özel Eğitim Disiplinleri,,,,
Amerikan Dili ve Edebiyatı,600 €,4 Yıl,,Ürün Tasarımı,3.750 €,Sosyal Pedagoji,,,,
Yazılım Mühendisliği ,1.000 €,3 Yıl,,Beden Eğitimi ve Spor,3.750 €,İş Psikolojisi,,,,
Bilgisayar Mühendisliği ,1.000 €,3 Yıl,,Spor ve Sağlık,3.750 €,Biyolojik Psikoloji,,,,
Enerji Mühendisliği ,1.375 €,3 Yıl,,Kimya,3.750 €,Özel Sosyolojiler,,,,
Ürün Tasarımı ,1.375 €,3 Yıl,,Sınıf Öğretmenliği,3.750 €,Andragojik Didaktik Pedagoji,,,,
Jeodezi ve Jeoinformatik ,1.375 €,3 Yıl,,Sosyoloji,3.750 €,Spor ve Rekreasyon Kinesiyoloji,,,,
İnşaat Mühendiliği ,1.375 €,3 Yıl,,Psikoloji,3.750 €,Sporda dönüşüm Sürecleri,,,,
Bilişim Teknolojileri ,1.375 €,3 Yıl,,Pedagoji,3.750 €,Fiziksel Aktivite,,,,
Makine Mühendisliği ,1.375 €,3 Yıl,,Çevre Koruma ve Ekoloji ,3.750 €,Spor Organizasyonu ve Yönetim,,,,
Turizm İşletmeciliği ,1.000 €,3 Yıl,,Antrönörlük,3.750 €,Uluslararası Ekonomi ,,,,
Ziraat Mühendisliği(Sebze*Çicek Yetiştirme) ,1.375 €,3 Yıl,,Spor Yönetimi,3.750 €,İş Yönetimi ve Organizasyon ,,,,
Ziraat Mühendisliği(Meyvecilik*Bağcılık) ,1.375 €,3 Yıl,,Özel Amaclı Spor(Ordu*Polis),3.750 €,Bilgi Teknolojileri,,,,
Ziraat Mühendisliği(Tarımda Ekoloji*Cevre Yönetimi) ,1.375 €,3 Yıl,, ,3.750 €,,,,,
İç Dizayn (Tasarım),1.375 €,4 Yıl,,Medeni Hukuk,3.750 €,,,,,
FizyoTerapi ,1.375 €,4 Yıl,,,,,,,,
Anestezi*Asistan ,1.375 €,4 Yıl,,,,,,,,
Hemşirelik ,1.375 €,4 Yıl,,,,,,,,
Sanat Ögretmenliği* Resim* Heykel,1.375 €,4 Yıl,,,,,,,,
Tasarım*Dizayn,1.375 €,3 Yıl,,,,,,,,
Müzik,1.375 €,4 Yıl,,,,,,,,
Mühendislik Teknolojisi,1.375 €,3 Yıl,,,,,,,,
İşletme Bilişimi,1.375 €,3 Yıl,,,,,,,,
Finans,1.375 €,3 Yıl,,,,,,,,
 ,1.375 €,3 Yıl,,,,,,,,
Coğrafya,1.375 €,4 Yıl,,,,,,,,
Beden Eğitimi ve Spor ,1.375 €,4 Yıl,,,,,,,,
Psıkoloji ve Sosyoloji  Cift Diploma,600 €,4 Yıl,,,,,,,,
Sınıf Öğretmenliği ,600 €,4 Yıl,,,,,,,,
Kimya ,1.375 €,4 Yıl,,,,,,,,
Pedagoji ,600 €,4 Yıl,,,,,,,,
Çevre Koruma ve Ekoloji ,1.375 €,3 Yıl,,,,,,,,
Biyoloji ,1.375 €,4 Yıl,,,,,,,,
Sosyoloji ,600 €,4 Yıl,,,,,,,,
Psikoloji  ,600 €,4 Yıl,,,,,,,,
İş Güvenliği,1.375 €,4 Yıl,,,,,,,,
İşletme Bilişim Lisansı ,1.375 €,3 Yıl,,,,,,,,
İşletme Ekonomisi ,3.750 €,3 Yıl,,,,,,,,
BiyoTeknoloji,1.375 €,3 Yıl,,,,,,,,
Bilgisayar Bilişim Teknolojileri,1.000 €,3 Yıl,,,,,,,,
Yazılım Geliştirme ,1.000 €,3 Yıl,,,,,,,,
Beslenme,1.375 €,3 Yıl,,,,,,,,
Krimiloji ve Güvenlik,1.375 €,3 Yıl,,,,,,,,
Müzik Öğretmenliği,1.375 €,4 Yıl,,,,,,,,
Profösyonel Antronörlük  ,1.375 €,3 Yıl,,,,,,,,
Spor Yönetimi,1.375 €,4 Yıl,,,,,,,,
Arşiv ve Kütüpanecilik*Müzecilik,600 €,3 Yıl,,,,,,,,
İnşaat Mühendisliği ,1.375 €,3 Yıl,,,,,,,,
Yenilenebilir Enerji Kaynakları,3.750 €,3 Yıl,,,,,,,,
Web Programlama,1.375 €,3 Yıl,,,,,,,,
İç Mimarlık,1.375 €,3 Yıl,,,,,,,,
TUZLA DEVLET ÜNİVERSİTESİ ,,YIL,,EK GİDERLER,YUKSEKLİSANS 1 Yıl,,,DOKTORA 3 Yıl,,
Tıp,2.000 €,6 Yıl,Boşnakça,KONAKLAMA,Logopedi,1.250 €,,Medeni Hukuk,5.200 €,
Eczacılık,2.000 €,5 Yıl,Boşnakça,Saraybosnada ,Eczacılık,1.250 €,,Ceza Hukuku,5.200 €,
BiyoTıp,2.000 €,3 Yıl,Boşnakça,Ev 150*400€,Hemşirelik ,1.250 €,,Uluslararası Kamu Hukuku,5.200 €,
İlaç,2.000 €,6 Yıl,Boşnakça,Yurt 90 €,Fizyoterapi,1.250 €,,Tarım Bilimi,5.200 €,
Logopedi,500 €,3 Yıl,Boşnakça,Özel Yurt 150€,Radyoloji,1.250 €,,Bitkisel ,7.200 €,
Konuşma Terapisti ve Odyoloji,500 €,3 Yıl,Boşnakça,OTURUM İZNİ,Laboratuvar,1.250 €,,Hayvansal Uretim,7.200 €,
Davranış Bozuklukları,500 €,3 Yıl,Boşnakça,İlk Yıl 295€,Görüntüleme,1.250 €,,İş Güvenliği,7.200 €,
Özel Eğitim ve Rehabilitasyon,500 €,3 Yıl,Boşnakça,Diğer Yıllar 140€,Biyotıp ve Sağlık,1.250 €,,Çevre Koruma Mühendisliği,7.200 €,
Ekonomi,800 €,3 Yıl,Boşnakça,,Sağlık Mühendisliği,1.250 €,,İş Güvenliği,7.200 €,
İşletme Ekonomisi,800 €,3 Yıl,Boşnakça,Bireysel Seyahat Giderleri,Konuşma Terapisi Odyoloji,1.250 €,,Gıda Teknolojisi,7.200 €,
Uluslararası Ticaret* Pazarlama,800 €,3 Yıl,Boşnakça,Konaklama Giderleri,Özel Eğitim ve Rehabilitasyon,1.250 €,,Gıda Güvenliği,7.200 €,
Muhasebe*Denetim-Finans,800 €,3 Yıl,Boşnakça,Seyahat Sigortası,Uluslararası  Hukuk,1.250 €,,Kimya Mühendisliği,7.200 €,
 E*Ticaret* Kamu Sektörü İşetmeciliği,800 €,3 Yıl,Boşnakça,Yeme ve İçme (Market),Medeni Hukuk,1.250 €,,Malzeme Mühendisliği,7.200 €,
