İRAN ÜNİVERSİTELERİ,TAHRAN DANIŞMANLIK,,1600 USD,,,
,TEBRİZ - ISFAHAN DANIŞMANLIK,,1200 USD,,,
ŞAVAŞTAN DOLAYI EYLÜL AYINA KADAR DERSLER ONLİNEDIR,,,,,,
DİPLOMA NOTU 80 VE ÜZERİ OLMALIDIR. YAŞ SINIRI 25TİR. ,,,,,,
"ÖĞRENCİYE VİZELİDİR. EVRAK VE VİZE İŞLEMLERİ İÇİN ÖĞRENCİ KONSOLOSLUĞA GİDER. (İSTANBUL, ANKARA, ERZURUM)",,,,,,
OKUL VE YURT ÖDEMESİNİ İKİ TAKSİTLE YAPABİLİR,,,,,,
YURT YILLIK 3550 $,,,,,,
TEBRİZ TIP ÜNİVERSİTESİ,,,,,,
BÖLÜMLERİ,EĞİTİM ÜCRETİ,EĞİTİM DİLİ,,SIRALAMA KURULUŞLARI,,
TIP,3800 USD,İNGİLİZCE- FARSÇA,,THE  501-600,,
DİŞ HEKİMLİĞİ,4200 USD,İNGİLİZCE- FARSÇA,,CWTS 513,,
ECZACILIK,4200 USD,FARSÇA,           ,,,
HEMŞİRELİK,2500 USD,FARSÇA,,,,
,,,,,,
 DİŞ HEKİMLİĞİ  TEBRİZ KONTENJANI DOLMUŞTUR.,,,,,,
 ISFAHANA YÖNLENDİREBİLİRSİNİZ,,,,,,
,,,,,,
TEBRİZ ÜNİVERSİTESİ,,,,,,
,,,,,,
BÖLÜMLERİ,EĞİTİM ÜCRETİ,EĞİTİM DİLİ,ŞU AN KAYIT ALMIYOR ,,,
HAYVAN BİLİMİ,750$,FARSÇA,GÖRÜŞÜRKEN MERKEZ OFİSE SORUN,,,
GIDA BİLİMİ VE TEKNOLOJİSİ,750$,FARSÇA,,,,
ORMANCILIK,750$,FARSÇA,,,,
BİTKİ ÜRETİMİ MÜHENDİSLİĞİ,850$,FARSÇA,,,,
BEDEN EĞİTİMİ SPOR BİLİMİ,750$,FARSÇA,,,,
EKONOMİK KALKINMA VE PLANLAMA ,750$,FARSÇA,,,,
EKONOMİ,750$,FARSÇA,,,,
YÖNETİM,750$,FARSÇA,,,,
ESKİ İRAN DİLLERİ VE KÜLTÜRÜ,750$,FARSÇA,,,,
İNGİLİZ DİLİ VE EDEBİYATI,750$,FARSÇA,,,,
FRANSIZ DİLİ VE EDEBİYATI,750$,FARSÇA,,,,
FELSEFE,750$,FARSÇA,,,,
FARS DİLİ VE EDEBİYATI,750$,FARSÇA,,,,
JEOMORFOLOJİ,750$,FARSÇA,,,,
COĞRAFYA VE ŞEHİR PLANLAMA,750$,FARSÇA,,,,
KLİMATOLOJİ,750$,FARSÇA,,,,
KIRSAL PLANLAMA ,750$,FARSÇA,,,,
ALGILAMA VE COĞRAFİ BİLGİ SİSTEMLERİ (CBS),750$,FARSÇA,,,,
MATEMATİK,750$,FARSÇA,,,,
UYGULAMALI MATEMATİK,750$,FARSÇA,,,,
İSTATİSTİK,750$,FARSÇA,,,,
BİLGİSAYAR BİLİMLERİ,750$,FARSÇA,,,,
ANALİTİK KİMYA,750$,FARSÇA,,,,
İNORGANİK KİMYA,750$,FARSÇA,,,,
UYGULAMALI KİMYA,750$,FARSÇA,,,,
ORGANİK VE BİYOKİMYA,750$,FARSÇA,,,,
FİZİKSEL KİMYA,750$,FARSÇA,,,,
TARIM EKONOMİSİ,750$,FARSÇA,,,,
HAYVAN BİLİMİ ,750$,FARSÇA,,,,
BİYOSİSTEM MÜHENDİSLİĞİ,850$,FARSÇA,,,,
YAYILIM VE KIRSAL KALKINMA ,750$,FARSÇA,,,,
GIDA BİLİMİ VE TEKNOLOJİSİ,750$,FARSÇA,,,,
BAHÇE BİLİMİ,750$,FARSÇA,,,,
PEYZAJ MİMARLIĞI,750$,FARSÇA,,,,
BİTKİ BİYOTEKNOLOJİSİ VE ISLAHI,750$,FARSÇA,,,,
BİTKİ EKOFİZYOLOJİSİ,750$,FARSÇA,,,,
BİTKİ KORUMA,750$,FARSÇA,,,,
TOPRAK BİLİMİ,750$,FARSÇA,,,,
SU MÜHENDİSLİĞİ,850$,FARSÇA,,,,
YER BİLİMLERİ,750$,FARSÇA,,,,
